product_id,product_name,category,subcategory,brand,price_npr,rating,review_count,festival_relevance,in_stock,price_tier,popularity_count,view,wishlist,purchase,conversion_rate,category_enc,price_tier_enc,festival_enc
35,Oppo Speakers #35,Electronics,Speakers,Oppo,85854,4.7,156,Dashain,True,Luxury,316,306,10,11,0.035830618892508145,2,3,1
36,Prestige Storage #36,Home & Kitchen,Storage,Prestige,8572,4.1,51,Dashain,True,Premium,607,553,56,37,0.06678700361010831,5,2,1
37,HP Laptops #37,Electronics,Laptops,HP,95470,3.8,23,Dashain,True,Luxury,317,303,14,11,0.03618421052631579,2,3,1
38,Wrangler Kurta #38,Fashion,Kurta,Wrangler,8365,4.8,23,Tihar,True,Premium,371,307,46,33,0.10714285714285714,1,2,2
39,Apple Laptops #39,Electronics,Laptops,Apple,150000,4.7,15,Dashain,True,Luxury,280,272,9,5,0.018315018315018316,2,3,1
40,Cottonworld T-Shirts #40,Fashion,T-Shirts,Cottonworld,5078,3.5,30,Tihar,True,Premium,425,358,35,45,0.12534818941504178,1,2,2
41,Cosco Football #41,Sports & Fitness,Football,Cosco,14432,4.3,80,Dashain,True,Premium,604,527,66,47,0.08901515151515152,4,2,1
42,Yonex Yoga #42,Sports & Fitness,Yoga,Yonex,4524,4.7,7,Dashain,True,Mid,603,505,83,53,0.10474308300395258,4,1,1
43,Garnier Sunscreen #43,Beauty & Personal Care,Sunscreen,Garnier,2566,4.3,208,Tihar,True,Mid,462,406,56,29,0.07125307125307126,0,1,2
44,Nepali Designs Jackets #44,Fashion,Jackets,Nepali Designs,10841,4.8,43,Tihar,False,Premium,376,326,39,24,0.07339449541284404,1,2,2
45,Dove Perfume #45,Beauty & Personal Care,Perfume,Dove,2899,4.7,15,Tihar,True,Mid,425,352,66,26,0.07365439093484419,0,1,2
46,Yonex Cricket #46,Sports & Fitness,Cricket,Yonex,20560,3.5,17,Dashain,True,Luxury,584,550,42,23,0.041742286751361164,4,3,1
47,Dove Sunscreen #47,Beauty & Personal Care,Sunscreen,Dove,1875,4.6,381,Tihar,True,Mid,446,386,64,30,0.07751937984496124,0,1,2
48,Allen Solly T-Shirts #48,Fashion,T-Shirts,Allen Solly,9419,3.4,32,Tihar,True,Premium,353,308,35,25,0.08090614886731391,1,2,2
49,Cosco Gym Equipment #49,Sports & Fitness,Gym Equipment,Cosco,11477,4.6,22,Dashain,True,Premium,618,558,61,42,0.07513416815742398,4,2,1
50,Samsung Smartphones #50,Electronics,Smartphones,Samsung,72152,4.2,44,Dashain,True,Luxury,308,301,13,5,0.016556291390728478,2,3,1
51,Pigeon Cleaning #51,Home & Kitchen,Cleaning,Pigeon,19351,3.4,6,Dashain,True,Premium,580,516,62,48,0.09284332688588008,5,2,1
52,Anker Earbuds #52,Phone Accessories,Earbuds,Anker,4681,2.6,18,Dashain,False,Mid,383,319,38,38,0.11875,3,1,1
53,Yonex Gym Equipment #53,Sports & Fitness,Gym Equipment,Yonex,18636,4.6,86,Dashain,True,Premium,617,540,62,57,0.10536044362292052,4,2,1
54,Belkin Stands #54,Phone Accessories,Stands,Belkin,6000,4.2,22,Dashain,True,Premium,382,333,32,33,0.09880239520958084,3,2,1
55,Asus Tablets #55,Electronics,Tablets,Asus,62150,4.7,29,Dashain,True,Luxury,316,314,11,4,0.012698412698412698,2,3,1
56,Dove Men's Grooming #56,Beauty & Personal Care,Men's Grooming,Dove,6436,4.5,614,Tihar,True,Premium,433,352,57,44,0.12464589235127478,0,2,2
57,Generic Cricket #57,Sports & Fitness,Cricket,Generic,30000,4.7,16,Dashain,True,Luxury,574,540,50,30,0.05545286506469501,4,3,1
58,Zara Jackets #58,Fashion,Jackets,Zara,11813,4.7,49,Tihar,True,Premium,378,313,50,29,0.09235668789808917,1,2,2
59,Dell Laptops #59,Electronics,Laptops,Dell,80802,4.1,69,Dashain,True,Luxury,307,304,6,9,0.029508196721311476,2,3,1
60,Vector X Yoga #60,Sports & Fitness,Yoga,Vector X,18276,3.4,71,Dashain,True,Premium,577,502,66,39,0.0775347912524851,4,2,1
61,Cottonworld Jeans #61,Fashion,Jeans,Cottonworld,15000,4.2,278,Tihar,True,Premium,370,315,47,22,0.06962025316455696,1,2,2
62,Levi's Ethnic Wear #62,Fashion,Ethnic Wear,Levi's,5388,3.4,5,Tihar,True,Premium,390,324,40,31,0.09538461538461539,1,2,2
63,Nepali Designs Saree #63,Fashion,Saree,Nepali Designs,9597,4.6,20,Tihar,False,Premium,406,362,45,25,0.06887052341597796,1,2,2
64,Baseus Earbuds #64,Phone Accessories,Earbuds,Baseus,3539,4.1,51,Dashain,True,Mid,420,349,56,34,0.09714285714285714,3,1,1
65,Nepali Designs Saree #65,Fashion,Saree,Nepali Designs,5064,4.6,24,Tihar,True,Premium,398,341,51,23,0.06725146198830409,1,2,2
66,Vivo Laptops #66,Electronics,Laptops,Vivo,109724,4.1,132,Dashain,False,Luxury,287,279,14,5,0.017857142857142856,2,3,1
67,Mamaearth Men's Grooming #67,Beauty & Personal Care,Men's Grooming,Mamaearth,2255,4.4,32,Tihar,True,Mid,461,377,70,39,0.10317460317460317,0,1,2
68,Zara Jeans #68,Fashion,Jeans,Zara,6082,4.4,28,Tihar,True,Premium,419,366,41,34,0.09264305177111716,1,2,2
69,Belkin Power Banks #69,Phone Accessories,Power Banks,Belkin,6000,2.9,98,Dashain,True,Premium,401,344,48,30,0.08695652173913043,3,2,1
70,Dell Headphones #70,Electronics,Headphones,Dell,61421,4.9,20,Dashain,True,Luxury,294,283,7,10,0.035211267605633804,2,3,1
71,Pigeon Decor #71,Home & Kitchen,Decor,Pigeon,25000,4.2,160,Dashain,False,Luxury,649,619,49,26,0.041935483870967745,5,3,1
72,Allen Solly T-Shirts #72,Fashion,T-Shirts,Allen Solly,12806,4.3,14,Tihar,True,Premium,396,337,47,34,0.10059171597633136,1,2,2
73,Dell Tablets #73,Electronics,Tablets,Dell,145613,4.4,187,Dashain,True,Luxury,330,331,7,6,0.018072289156626505,2,3,1
74,Milton Storage #74,Home & Kitchen,Storage,Milton,16363,1.8,44,Dashain,False,Premium,606,529,62,40,0.07547169811320754,5,2,1
75,Loreal Skincare #75,Beauty & Personal Care,Skincare,Loreal,4511,4.8,116,Tihar,True,Mid,441,374,62,23,0.06133333333333333,0,1,2
76,Ugreen Cases #76,Phone Accessories,Cases,Ugreen,3271,3.8,101,Dashain,True,Mid,423,373,42,29,0.07754010695187166,3,1,1
77,Vector X Badminton #77,Sports & Fitness,Badminton,Vector X,26344,4.6,307,Dashain,True,Luxury,562,561,28,20,0.03558718861209965,4,3,1
78,Levi's T-Shirts #78,Fashion,T-Shirts,Levi's,15000,3.9,142,Tihar,True,Premium,409,357,43,25,0.06983240223463687,1,2,2
79,Pigeon Bedding #79,Home & Kitchen,Bedding,Pigeon,14179,4.8,189,Dashain,True,Premium,593,514,65,49,0.09514563106796116,5,2,1
80,Prestige Cleaning #80,Home & Kitchen,Cleaning,Prestige,8080,4.6,107,Dashain,True,Premium,586,512,55,60,0.11695906432748537,5,2,1
81,Cosco Gym Equipment #81,Sports & Fitness,Gym Equipment,Cosco,8984,4.6,102,Dashain,True,Premium,635,544,79,61,0.11192660550458716,4,2,1
82,Prestige Cleaning #82,Home & Kitchen,Cleaning,Prestige,4862,3.3,153,Dashain,True,Mid,591,513,67,45,0.08754863813229571,5,1,1
83,Cosco Cricket #83,Sports & Fitness,Cricket,Cosco,15338,4.3,60,Dashain,True,Premium,571,503,60,45,0.08928571428571429,4,2,1
84,Pigeon Cleaning #84,Home & Kitchen,Cleaning,Pigeon,25000,4.3,79,Dashain,True,Luxury,627,609,42,23,0.03770491803278689,5,3,1
85,Baseus Cables #85,Phone Accessories,Cables,Baseus,818,4.8,53,Dashain,True,Budget,412,359,41,32,0.08888888888888889,3,0,1
86,Milton Storage #86,Home & Kitchen,Storage,Milton,25000,4.2,30,Dashain,True,Luxury,620,595,45,26,0.0436241610738255,5,3,1
87,Generic Cases #87,Phone Accessories,Cases,Generic,5021,4.9,112,Dashain,True,Premium,400,354,48,21,0.059154929577464786,3,2,1
88,Cottonworld T-Shirts #88,Fashion,T-Shirts,Cottonworld,5714,4.5,7,Tihar,False,Premium,355,296,48,26,0.08754208754208755,1,2,2
89,Prestige Decor #89,Home & Kitchen,Decor,Prestige,16896,4.5,7,Dashain,True,Premium,604,517,69,54,0.10424710424710425,5,2,1
90,HP Smartphones #90,Electronics,Smartphones,HP,111225,3.4,38,Dashain,True,Luxury,331,318,13,10,0.03134796238244514,2,3,1
91,OnePlus Smartphones #91,Electronics,Smartphones,OnePlus,40354,4.8,18,Dashain,True,Luxury,307,284,18,12,0.042105263157894736,2,3,1
92,Milton Cookware #92,Home & Kitchen,Cookware,Milton,5150,4.3,123,Dashain,True,Premium,575,500,66,45,0.08982035928143713,5,2,1
93,Himalaya Makeup #93,Beauty & Personal Care,Makeup,Himalaya,4720,4.3,59,Tihar,True,Mid,457,397,57,23,0.05778894472361809,0,1,2
94,Pigeon Cleaning #94,Home & Kitchen,Cleaning,Pigeon,10447,4.4,26,Dashain,True,Premium,613,541,76,49,0.09040590405904059,5,2,1
95,Mamaearth Makeup #95,Beauty & Personal Care,Makeup,Mamaearth,8000,3.9,35,Tihar,True,Premium,483,407,59,36,0.08823529411764706,0,2,2
96,Zara Ethnic Wear #96,Fashion,Ethnic Wear,Zara,6158,3.9,16,Tihar,True,Premium,377,321,46,24,0.07453416149068323,1,2,2
97,Levi's Shoes #97,Fashion,Shoes,Levi's,15000,4.3,60,Tihar,True,Premium,393,333,47,32,0.09580838323353294,1,2,2
98,Apple Tablets #98,Electronics,Tablets,Apple,119836,4.8,12,Dashain,True,Luxury,288,278,15,6,0.021505376344086023,2,3,1
99,Himalaya Makeup #99,Beauty & Personal Care,Makeup,Himalaya,8000,3.2,228,Tihar,True,Premium,453,382,49,38,0.09921671018276762,0,2,2
100,Generic Outdoor Gear #100,Sports & Fitness,Outdoor Gear,Generic,23659,4.2,218,Dashain,True,Luxury,615,576,42,36,0.06239168110918544,4,3,1
101,Generic Gym Equipment #101,Sports & Fitness,Gym Equipment,Generic,18470,4.5,65,Dashain,True,Premium,591,505,66,50,0.09881422924901186,4,2,1
102,Prestige Storage #102,Home & Kitchen,Storage,Prestige,25000,4.5,4,Dashain,True,Luxury,641,613,39,26,0.04234527687296417,5,3,1
103,Belkin Earbuds #103,Phone Accessories,Earbuds,Belkin,3807,3.3,87,Dashain,True,Mid,416,358,46,33,0.09192200557103064,3,1,1
104,Cottonworld Kurtis #104,Fashion,Kurtis,Cottonworld,1794,4.3,83,Tihar,True,Mid,419,346,50,34,0.09798270893371758,1,1,2
105,Baseus Stands #105,Phone Accessories,Stands,Baseus,6000,4.1,14,Dashain,True,Premium,381,323,46,29,0.08950617283950617,3,2,1
106,Levi's Jackets #106,Fashion,Jackets,Levi's,10394,4.6,8,Tihar,True,Premium,406,342,53,31,0.09037900874635568,1,2,2
107,Asus Laptops #107,Electronics,Laptops,Asus,131150,4.4,65,Dashain,True,Luxury,332,326,10,6,0.01834862385321101,2,3,1
108,Dove Skincare #108,Beauty & Personal Care,Skincare,Dove,6873,5.0,183,Tihar,True,Premium,453,381,53,38,0.09947643979057591,0,2,2
109,Anker Cases #109,Phone Accessories,Cases,Anker,3785,3.4,20,Dashain,True,Mid,396,345,41,27,0.07803468208092486,3,1,1
110,Xiaomi Laptops #110,Electronics,Laptops,Xiaomi,100752,4.8,12,Dashain,True,Luxury,317,303,22,3,0.009868421052631578,2,3,1
111,Anker Stands #111,Phone Accessories,Stands,Anker,1814,4.5,25,Dashain,True,Mid,411,345,40,45,0.13005780346820808,3,1,1
112,Local Cleaning #112,Home & Kitchen,Cleaning,Local,12647,4.1,24,Dashain,True,Premium,635,566,71,44,0.07760141093474426,5,2,1
113,Nepali Designs Shoes #113,Fashion,Shoes,Nepali Designs,3419,4.9,334,Tihar,True,Mid,364,311,45,25,0.08012820512820513,1,1,2
114,Nivea Haircare #114,Beauty & Personal Care,Haircare,Nivea,1223,4.8,48,Tihar,True,Mid,412,363,37,37,0.10164835164835165,0,1,2
115,Vector X Cricket #115,Sports & Fitness,Cricket,Vector X,30000,4.0,730,Dashain,True,Luxury,585,559,43,23,0.04107142857142857,4,3,1
116,Dell Smart Watches #116,Electronics,Smart Watches,Dell,67112,4.2,73,Dashain,True,Luxury,330,322,11,5,0.015479876160990712,2,3,1
117,Dell Smartphones #117,Electronics,Smartphones,Dell,71161,4.2,51,Dashain,True,Luxury,298,292,11,8,0.027303754266211604,2,3,1
118,Realme Laptops #118,Electronics,Laptops,Realme,32456,4.6,75,Dashain,True,Luxury,333,305,20,21,0.06862745098039216,2,3,1
119,Levi's Jeans #119,Fashion,Jeans,Levi's,15000,4.3,12,Tihar,True,Premium,427,363,57,24,0.06593406593406594,1,2,2
120,Wrangler Kurtis #120,Fashion,Kurtis,Wrangler,13723,2.9,16,Tihar,True,Premium,387,321,48,39,0.12111801242236025,1,2,2
121,Levi's T-Shirts #121,Fashion,T-Shirts,Levi's,7814,3.2,54,Tihar,True,Premium,420,368,41,33,0.08943089430894309,1,2,2
122,Biotique Makeup #122,Beauty & Personal Care,Makeup,Biotique,3102,4.3,806,Tihar,True,Mid,452,381,57,35,0.09162303664921466,0,1,2
123,Himalaya Skincare #123,Beauty & Personal Care,Skincare,Himalaya,8000,4.2,338,Tihar,True,Premium,456,383,45,41,0.10677083333333333,0,2,2
124,Belkin Cases #124,Phone Accessories,Cases,Belkin,3517,4.5,44,Dashain,True,Mid,379,333,42,23,0.0688622754491018,3,1,1
125,Garnier Makeup #125,Beauty & Personal Care,Makeup,Garnier,2019,4.1,48,Tihar,True,Mid,432,362,59,39,0.10743801652892562,0,1,2
126,Cosco Cricket #126,Sports & Fitness,Cricket,Cosco,15250,4.4,50,Dashain,True,Premium,613,534,66,46,0.08598130841121496,4,2,1
127,OnePlus Smartphones #127,Electronics,Smartphones,OnePlus,111005,4.8,40,Dashain,True,Luxury,319,307,12,6,0.01948051948051948,2,3,1
128,Ugreen Earbuds #128,Phone Accessories,Earbuds,Ugreen,3227,4.3,47,Dashain,True,Mid,400,351,36,28,0.07954545454545454,3,1,1
129,Prestige Bedding #129,Home & Kitchen,Bedding,Prestige,19731,3.3,39,Dashain,True,Premium,644,568,66,54,0.09490333919156414,5,2,1
130,Cosco Gym Equipment #130,Sports & Fitness,Gym Equipment,Cosco,19335,4.8,126,Dashain,True,Premium,571,506,62,37,0.07297830374753451,4,2,1
131,Allen Solly Kurtis #131,Fashion,Kurtis,Allen Solly,5509,3.8,14,Tihar,True,Premium,395,343,39,26,0.0755813953488372,1,2,2
132,Milton Decor #132,Home & Kitchen,Decor,Milton,11465,3.3,46,Dashain,True,Premium,580,506,70,52,0.10256410256410256,5,2,1
133,Asus Speakers #133,Electronics,Speakers,Asus,150000,4.9,4,Dashain,True,Luxury,256,246,6,8,0.032388663967611336,2,3,1
134,Anker Cables #134,Phone Accessories,Cables,Anker,2048,4.7,100,Dashain,False,Mid,426,370,50,28,0.07547169811320754,3,1,1
135,Biotique Skincare #135,Beauty & Personal Care,Skincare,Biotique,4828,4.5,23,Tihar,True,Mid,469,395,61,37,0.09343434343434344,0,1,2
136,Loreal Perfume #136,Beauty & Personal Care,Perfume,Loreal,8000,4.2,67,Tihar,True,Premium,410,347,54,30,0.08620689655172414,0,2,2
137,Mamaearth Makeup #137,Beauty & Personal Care,Makeup,Mamaearth,2815,3.7,65,Tihar,True,Mid,428,366,53,30,0.08174386920980926,0,1,2
138,Himalaya Makeup #138,Beauty & Personal Care,Makeup,Himalaya,1848,4.7,50,Tihar,True,Mid,446,369,48,39,0.10540540540540541,0,1,2
139,Mamaearth Perfume #139,Beauty & Personal Care,Perfume,Mamaearth,6536,4.3,23,Tihar,True,Premium,425,353,57,40,0.11299435028248588,0,2,2
140,Cosco Badminton #140,Sports & Fitness,Badminton,Cosco,21168,3.3,19,Dashain,True,Luxury,596,570,38,19,0.03327495621716287,4,3,1
141,Milton Decor #141,Home & Kitchen,Decor,Milton,15256,4.4,66,Dashain,True,Premium,623,550,80,46,0.08348457350272233,5,2,1
142,Mamaearth Men's Grooming #142,Beauty & Personal Care,Men's Grooming,Mamaearth,3975,3.6,36,Tihar,True,Mid,453,392,53,36,0.0916030534351145,0,1,2
143,HP Smart Watches #143,Electronics,Smart Watches,HP,63621,3.3,72,Dashain,True,Luxury,312,307,6,12,0.03896103896103896,2,3,1
144,Wrangler Shoes #144,Fashion,Shoes,Wrangler,5624,4.6,157,Tihar,True,Premium,383,326,40,35,0.10703363914373089,1,2,2
145,Dell Tablets #145,Electronics,Tablets,Dell,68678,4.8,35,Dashain,True,Luxury,319,304,11,13,0.04262295081967213,2,3,1
146,Belkin Earbuds #146,Phone Accessories,Earbuds,Belkin,4085,4.2,3,Dashain,True,Mid,389,353,39,25,0.07062146892655367,3,1,1
147,Baseus Chargers #147,Phone Accessories,Chargers,Baseus,1129,3.8,60,Dashain,True,Mid,372,323,45,21,0.06481481481481481,3,1,1
148,Dove Men's Grooming #148,Beauty & Personal Care,Men's Grooming,Dove,5767,4.7,97,Tihar,True,Premium,490,427,56,32,0.07476635514018691,0,2,2
149,Zara T-Shirts #149,Fashion,T-Shirts,Zara,10930,4.3,299,Tihar,True,Premium,402,335,60,25,0.0744047619047619,1,2,2
150,Anker Stands #150,Phone Accessories,Stands,Anker,1523,4.4,199,Dashain,True,Mid,404,350,41,30,0.08547008547008547,3,1,1
151,Generic Outdoor Gear #151,Sports & Fitness,Outdoor Gear,Generic,15871,4.5,128,Dashain,True,Premium,612,531,71,44,0.08270676691729323,4,2,1
152,Cosco Gym Equipment #152,Sports & Fitness,Gym Equipment,Cosco,25512,3.8,11,Dashain,True,Luxury,590,568,32,29,0.050966608084358524,4,3,1
153,Allen Solly Jeans #153,Fashion,Jeans,Allen Solly,10313,4.0,337,Tihar,True,Premium,413,367,29,37,0.10054347826086957,1,2,2
154,Garnier Perfume #154,Beauty & Personal Care,Perfume,Garnier,2358,4.8,158,Tihar,True,Mid,442,375,61,27,0.07180851063829788,0,1,2
155,Belkin Earbuds #155,Phone Accessories,Earbuds,Belkin,6000,4.6,41,Dashain,True,Premium,385,335,43,32,0.09523809523809523,3,2,1
156,Garnier Skincare #156,Beauty & Personal Care,Skincare,Garnier,5490,4.5,20,Tihar,True,Premium,451,395,47,33,0.08333333333333333,0,2,2
157,Asus Cameras #157,Electronics,Cameras,Asus,41894,4.7,12,Dashain,True,Luxury,327,286,27,18,0.0627177700348432,2,3,1
158,Allen Solly Jeans #158,Fashion,Jeans,Allen Solly,3627,3.8,21,Tihar,True,Mid,380,323,44,28,0.08641975308641975,1,1,2
159,Belkin Power Banks #159,Phone Accessories,Power Banks,Belkin,2914,3.1,6,Dashain,True,Mid,368,312,41,29,0.0926517571884984,3,1,1
160,Generic Cables #160,Phone Accessories,Cables,Generic,5004,4.2,1600,Dashain,True,Premium,416,355,37,38,0.10674157303370786,3,2,1
161,Asus Speakers #161,Electronics,Speakers,Asus,150000,4.3,103,Dashain,True,Luxury,326,324,3,9,0.027692307692307693,2,3,1
162,Nivia Gym Equipment #162,Sports & Fitness,Gym Equipment,Nivia,5413,4.0,170,Dashain,True,Premium,575,514,80,29,0.05631067961165048,4,2,1
163,Nivia Yoga #163,Sports & Fitness,Yoga,Nivia,19652,3.8,84,Dashain,False,Premium,627,538,72,50,0.09276437847866419,4,2,1
164,Tefal Decor #164,Home & Kitchen,Decor,Tefal,2950,4.8,138,Dashain,True,Mid,612,534,71,49,0.09158878504672897,5,1,1
165,Nepali Designs Saree #165,Fashion,Saree,Nepali Designs,2455,4.7,91,Tihar,True,Mid,373,302,56,30,0.09900990099009901,1,1,2
166,Prestige Bedding #166,Home & Kitchen,Bedding,Prestige,11479,4.7,28,Dashain,True,Premium,587,511,82,35,0.068359375,5,2,1
167,HP Headphones #167,Electronics,Headphones,HP,112220,4.1,61,Dashain,True,Luxury,292,284,11,3,0.010526315789473684,2,3,1
168,Levi's Kurtis #168,Fashion,Kurtis,Levi's,12674,3.9,132,Tihar,True,Premium,385,325,45,31,0.0950920245398773,1,2,2
169,Asus Tablets #169,Electronics,Tablets,Asus,100250,4.2,124,Dashain,True,Luxury,311,307,7,7,0.022727272727272728,2,3,1
170,OnePlus Smartphones #170,Electronics,Smartphones,OnePlus,150000,4.3,28,Dashain,True,Luxury,301,280,19,11,0.03914590747330961,2,3,1
171,Samsung Cameras #171,Electronics,Cameras,Samsung,119800,4.7,26,Dashain,True,Luxury,296,291,5,12,0.0410958904109589,2,3,1
172,Xiaomi Smart Watches #172,Electronics,Smart Watches,Xiaomi,120713,3.9,51,Dashain,True,Luxury,327,311,15,11,0.035256410256410256,2,3,1
173,Anker Power Banks #173,Phone Accessories,Power Banks,Anker,4206,3.9,285,Dashain,True,Mid,392,322,52,27,0.08359133126934984,3,1,1
174,Allen Solly Saree #174,Fashion,Saree,Allen Solly,8512,3.1,21,Tihar,True,Premium,427,354,63,34,0.09577464788732394,1,2,2
175,Samsung Smart Watches #175,Electronics,Smart Watches,Samsung,32675,4.5,155,Dashain,True,Luxury,311,297,24,8,0.026845637583892617,2,3,1
176,Mamaearth Men's Grooming #176,Beauty & Personal Care,Men's Grooming,Mamaearth,2283,3.5,56,Tihar,True,Mid,443,378,46,47,0.12401055408970976,0,1,2
177,Samsung Cameras #177,Electronics,Cameras,Samsung,31044,3.8,25,Dashain,True,Luxury,332,312,22,16,0.051118210862619806,2,3,1
178,HP Speakers #178,Electronics,Speakers,HP,37040,4.0,44,Dashain,True,Luxury,327,310,20,13,0.04180064308681672,2,3,1
179,Dell Speakers #179,Electronics,Speakers,Dell,47953,4.3,16,Dashain,True,Luxury,322,295,21,19,0.06418918918918919,2,3,1
180,Realme Cameras #180,Electronics,Cameras,Realme,53823,3.6,58,Dashain,False,Luxury,315,310,7,5,0.01607717041800643,2,3,1
181,Levi's T-Shirts #181,Fashion,T-Shirts,Levi's,5302,4.4,31,Tihar,True,Premium,385,336,48,22,0.06528189910979229,1,2,2
182,Zara T-Shirts #182,Fashion,T-Shirts,Zara,14396,4.0,25,Tihar,False,Premium,395,338,59,24,0.07079646017699115,1,2,2
183,Ugreen Power Banks #183,Phone Accessories,Power Banks,Ugreen,4304,4.7,96,Dashain,False,Mid,402,360,40,25,0.06925207756232687,3,1,1
184,Anker Chargers #184,Phone Accessories,Chargers,Anker,1586,4.0,7,Dashain,True,Mid,368,322,36,28,0.08668730650154799,3,1,1
